trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.5, 'e': 0.09901475429766744}",20,9,17.282319315944104,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.09853292781642932}",25,11,22.14211623836101,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.09805806756909202}",25,12,7.787628044300114,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.09759000729485333}",25,0,28.092175579579834,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.09712858623572641}",20,10,16.73591468857674,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.09667364890456635}",25,13,21.937242537329976,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.09622504486493763}",25,17,9.663366011407991,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.09578262852211514}",35,12,20.222308189387924,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.09534625892455924}",20,9,-14.677135598335862,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.0949157995752499}",20,16,9.214682649567107,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.0944911182523068}",20,0,21.924193901134906,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.09407208683835973}",20,14,10.214576367152493,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.0936585811581694}",20,9,22.49597702032074,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.09325048082403138}",20,7,3.480757065602743,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.09284766908852593}",25,1,42.18594480361741,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.09245003270420485}",20,12,15.398667179290745,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.09205746178983235}",25,17,2.8839459941834447,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.09166984970282113}",20,13,14.574435608900046,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.09128709291752768}",20,13,3.526325197719414,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.09090909090909091}",25,0,29.627614729491135,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.09053574604251853}",25,16,13.948564347220199,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.09016696346674323}",20,3,23.536611065454203,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.08980265101338744}",20,16,8.101862643876034,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.08944271909999159}",30,11,23.552201862013952,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.0890870806374748}",25,8,9.910891681683976,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
